NOMBRE	TIPO_ENTIDAD	RELACIONADO CON	TIPO_RELACION	PUESTO
	empresa	Consultoría Integral en Ingeniería S.A. DE C.V. 	shareholder	
Manuel Díaz Canales	persona	Consultoría Integral en Ingeniería S.A. DE C.V. 	boardmember	Presidente
	persona	Consultoría Integral en Ingeniería S.A. DE C.V. 	boardmember	Vicepresidente
Ingeniería de Proyectos e Infraestructuras Mexicanas S.A. DE C.V. 	empresa			
Ingeniería de Proyectos e Infraestructuras Mexicanas S.A. DE C.V. 	empresa	Ingeniería de Proyectos e Infraestructuras Mexicanas S.A. DE C.V. 	parent	
PROINTEC S.A 	empresa	Ingeniería de Proyectos e Infraestructuras Mexicanas S.A. DE C.V. 	shareholder	
GEOPRIN S.A 	empresa	Ingeniería de Proyectos e Infraestructuras Mexicanas S.A. DE C.V. 	shareholder	
Alonso Dominguez Herrera 	persona	Ingeniería de Proyectos e Infraestructuras Mexicanas S.A. DE C.V. 	boardmember	Presidente
	persona	Ingeniería de Proyectos e Infraestructuras Mexicanas S.A. DE C.V. 	boardmember	Vicepresidente
Consultores de Ingeniería UG21, S.A. DE C.V. 	empresa			
Consultores de Ingeniería UG21, S.L. 	empresa	Consultores de Ingeniería UG21, S.A. DE C.V. 		
		Consultores de Ingeniería UG21, S.L. 		
		Consultores de Ingeniería UG21, S.L. 		
Ozgur Unay Unay 	persona	Consultores de Ingeniería UG21, S.L. 	boardmember	Presidente
Manuel González Moles 	persona	Consultores de Ingeniería UG21, S.L. 	boardmember	Vicepresidente
ICA CONSTRUCTORA SA DE CV	empresa			
Empresas ICA S.A.B. DE C.V. 	empresa	ICA CONSTRUCTORA SA DE CV	parent	
David Martinez Guzmán	persona	Empresas ICA S.A.B. DE C.V. 	shareholder	
Bernardo Quintana Isaac	persona	Empresas ICA S.A.B. DE C.V. 	boardmember	Presidente 
Guadalupe Philips Margain	persona	Empresas ICA S.A.B. DE C.V. 	boardmember	Vicepresidente
WOODHOUSE LORENTE LUDLOW SC	empresa 			
CMS Legal Services EEIG	empresa	WOODHOUSE LORENTE LUDLOW SC	parent	
Pierre-Sébastien Thill	persona	CMS Legal Services EEIG	boardmember	Presidente 
Matthias Lichtblau	persona	CMS Legal Services EEIG	boardmember	Vicepresidente
STEER DAVIES & GLEAVE MEXICO SA DE CV	empresa			
Steer Davies & Gleave Ltd. 	empresa	STEER DAVIES & GLEAVE MEXICO SA DE CV	parent	
Suffolk Life 	empresa	STEER DAVIES & GLEAVE MEXICO SA DE CV	shareholder	
Castlewood Trust Corporation Ltd. 	empresa	STEER DAVIES & GLEAVE MEXICO SA DE CV	shareholder	
Hugh jones 	persona	STEER DAVIES & GLEAVE MEXICO SA DE CV	boardmember	Presidente 
Sharon Daly 	persona	STEER DAVIES & GLEAVE MEXICO SA DE CV	boardmember	Vicepresidente
MEXTYPSA SA DE CV	empresa			
Técnica y Proyectos S.A. 	empresa	MEXTYPSA SA DE CV	parent	
	empresa	Técnica y Proyectos S.A. 	shareholder	
	empresa	Técnica y Proyectos S.A. 	shareholder	
Pablo Bueno Sainz	persona	Técnica y Proyectos S.A. 	boardmember	Presidente
Pablo Bueno Tomás 	persona	Técnica y Proyectos S.A. 	boardmember	Presidente 
PricewaterhouseCoopers S.C. 	empresa			
PricewaterhpuseCooper International Limited	empresa	PricewaterhouseCoopers S.C. 	parent	
	empresa	PricewaterhpuseCooper International Limited	shareholder	
	empresa	PricewaterhpuseCooper International Limited	shareholder	
Robert E Moritz 	persona	PricewaterhpuseCooper International Limited	boardmember	Presidente
Wesley Bricker 	persona	PricewaterhpuseCooper International Limited	boardmember	Vicepresidente
KEY CAPITAL S A P I DE CV	empresa			
KEY CAPITAL S A P I DE CV	empresa	KEY CAPITAL S A P I DE CV	parent	
Enrique Prieto 	persona	KEY CAPITAL S A P I DE CV	boardmember	Presidente
	persona	KEY CAPITAL S A P I DE CV	boardmember	Vicepresidente
KEY CAPITAL S A P I DE CV	empresa	Senermex Ingeniería y Sistemas S.A. de C.V. 	parent	
Sener Grupo de  Ingeniería y Sistemas S.A.	empresa	Senermex Ingeniería y Sistemas S.A. de C.V. 	parent	
Jorge Sendagorta	persona	Sener Grupo de  Ingeniería y Sistemas S.A.	shareholder	
Andrés Sendagorta	persona	Sener Grupo de  Ingeniería y Sistemas S.A.	shareholder	
Jorge Sedagorta 	persona	Sener Grupo de  Ingeniería y Sistemas S.A.	boardmember	Presidente
Andrés Sendagorta	persona	Sener Grupo de  Ingeniería y Sistemas S.A.	boardmember	Vicepresidente
Daniferrotools S.A  de C.V. 	empresa			
Daniferrotools S.A  de C.V. 	empresa	Daniferrotools S.A  de C.V. 	parent	
Diana Rivera Tzek 	persona	Daniferrotools S.A  de C.V. 	shareholder	
Francisco Vazquez Tzek	persona	Daniferrotools S.A  de C.V. 	shareholder	
Itzel Mendez Velazquez 	persona	Daniferrotools S.A  de C.V. 	boardmember	Presidente
Diana Rivera Tzek 	persona	Daniferrotools S.A  de C.V. 	boardmember	Vicepresidente
Geotest 	empresa			
Geotecnica y Supervisión Técnica S.A de C.V.  	empresa	Geotest		
Luis Enrique Atzin	persona	Geotecnica y Supervisión Técnica S.A de C.V.  	shareholder	
Maria Elena Guevara Escobar	persona	Geotecnica y Supervisión Técnica S.A de C.V.  	shareholder	
Luis Enrique Atzin	persona	Geotecnica y Supervisión Técnica S.A de C.V.  	boardmember	Presidente
Maria Elena Guevara Escobar	persona	Geotecnica y Supervisión Técnica S.A de C.V.  	boardmember	Vicepresidente
